TYPE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y,Latitude,Longitude,HOUR,MINUTE,YEAR,MONTH,DAY,Date,TIME_OF_DAY,Month_Name,Coordinates
Mischief,6XX E 7TH AVE,Mount Pleasant,493386.4,5456841.7,49.26430,-123.09090,6,5,2002,10,23,10/23/2002,Night,October,"49.26430288, -123.0909034"
Theft from Vehicle,59XX ORMIDALE ST,Killarney,498172.1,5453001.6,49.22979,-123.02511,21,0,2006,9,19,09/19/2006,Night,September,"49.22979279, -123.0251064"
Mischief,77XX PRINCE ALBERT ST,Sunset,493589.6,5451285.1,49.21432,-123.08802,17,53,2005,4,14,04/14/2005,Evening,April,"49.21432179, -123.088021"
Theft from Vehicle,20XX MANNERING AVE,Kensington-Cedar Cottage,495356.3,5454208.6,49.24064,-123.06380,22,0,2004,11,27,11/27/2004,Night,November,"49.2406358, -123.0637961"
Theft from Vehicle,20XX SCARBORO AVE,Victoria-Fraserview,495332.0,5451198.3,49.21356,-123.06410,21,0,2002,4,15,04/15/2002,Night,April,"49.21355666, -123.0640952"
Theft of Bicycle,10XX DAVIE ST,West End,490567.5,5458530.9,49.27946,-123.12969,1,0,2008,1,11,01/11/2008,Night,January,"49.27946036, -123.1296881"
Break and Enter Commercial,31XX GRANDVIEW HWY,Renfrew-Collingwood,497261.2,5456155.7,49.25816,-123.03764,5,10,2004,2,13,02/13/2004,Day,February,"49.25816135, -123.0376395"
Theft of Vehicle,55XX SHERBROOKE ST,Kensington-Cedar Cottage,494098.5,5453511.4,49.23435,-123.08107,23,30,2004,2,29,02/29/2004,Evening,February,"49.23435349, -123.0810661"
Other Theft,7XX ROBSON ST,Central Business District,491218.8,5458800.8,49.28190,-123.12074,15,30,2011,3,28,03/28/2011,Evening,March,"49.28189804, -123.1207383"
Theft of Vehicle,E 56TH AVE / ONTARIO ST,Sunset,492272.4,5451846.2,49.21935,-123.10612,4,0,2001,6,24,06/24/2001,Night,June,"49.21935392, -123.1061187"
Theft from Vehicle,12XX E 14TH AVE,Mount Pleasant,494259.9,5456125.9,49.25787,-123.07889,15,0,2005,3,21,03/21/2005,Night,March,"49.25787222, -123.0788869"
Other Theft,20XX E HASTINGS ST,Grandview-Woodland,495498.5,5458710.9,49.28114,-123.06189,21,30,2000,4,8,04/08/2000,Evening,April,"49.28113596, -123.0618933"
Theft of Vehicle,11XX KASLO ST,Hastings-Sunrise,496596.5,5458067.1,49.27535,-123.04679,0,0,2004,3,22,03/22/2004,Night,March,"49.27535188, -123.0467906"
Vehicle Collision or Pedestrian Struck (with Injury),W 8TH AVE / CAMBIE ST,Fairview,491641.0,5456817.0,49.26406,-123.11489,20,59,2007,6,4,06/04/2007,Evening,June,"49.26405907, -123.1148923"
Theft of Vehicle,11XX E PENDER ST,Strathcona,494093.2,5458587.1,49.28001,-123.08121,20,0,2011,5,24,05/24/2011,Night,May,"49.28000968, -123.0812138"
Other Theft,5XX W HASTINGS ST,Central Business District,491827.1,5459079.6,49.28441,-123.11238,12,29,2010,11,22,11/22/2010,Evening,November,"49.2844136, -123.1123809"
Mischief,4XX E 43RD AVE,Sunset,492933.6,5453145.9,49.23105,-123.09706,21,19,2005,8,14,08/14/2005,Evening,August,"49.23105339, -123.0970607"
Other Theft,5XX ABBOTT ST,Central Business District,492178.0,5458621.7,49.28030,-123.10755,20,0,2004,8,9,08/09/2004,Night,August,"49.28030003, -123.1075467"
Other Theft,12XX SEYMOUR ST,Central Business District,490785.5,5458098.3,49.27557,-123.12668,22,55,2008,7,30,07/30/2008,Evening,July,"49.27557229, -123.1266804"
Theft from Vehicle,6XX W BROADWAY AVE,Fairview,491441.1,5456732.2,49.26329,-123.11764,8,30,2001,12,16,12/16/2001,Evening,December,"49.2632936, -123.1176378"
Theft from Vehicle,HELMCKEN ST / HOWE ST,Central Business District,490862.9,5458462.2,49.27885,-123.12562,1,0,2004,10,6,10/06/2004,Night,October,"49.27884634, -123.1256242"
Other Theft,6XX W CORDOVA ST,Central Business District,491865.2,5459187.9,49.28539,-123.11186,10,0,2000,12,9,12/09/2000,Night,December,"49.28538829, -123.1118584"
Theft from Vehicle,8XX AVISON WAY,Stanley Park,490531.0,5460905.9,49.30082,-123.13025,17,25,2005,3,3,03/03/2005,Evening,March,"49.30082343, -123.1302463"
Theft of Vehicle,12XX VENABLES ST,Strathcona,494233.9,5458226.8,49.27677,-123.07927,9,52,2004,8,6,08/06/2004,Evening,August,"49.27677042, -123.0792746"
Mischief,43XX COMMERCIAL ST,Kensington-Cedar Cottage,495056.9,5454794.0,49.24590,-123.06792,7,0,1999,5,21,05/21/1999,Night,May,"49.24589881, -123.0679165"
Break and Enter Residential/Other,13XX W 12TH AVE,Fairview,490247.7,5456452.8,49.26076,-123.13403,21,0,2000,2,22,02/22/2000,Night,February,"49.26076275, -123.1340338"
Theft of Vehicle,8XX WINDERMERE ST,Hastings-Sunrise,497368.9,5458296.3,49.27742,-123.03617,22,0,2002,12,24,12/24/2002,Night,December,"49.27741667, -123.036174"
Theft of Bicycle,15XX W 11TH AVE,Fairview,489823.8,5456556.0,49.26168,-123.13986,21,30,2009,9,7,09/07/2009,Evening,September,"49.26168343, -123.1398626"
Vehicle Collision or Pedestrian Struck (with Injury),BOUNDARY RD / E 1ST AVE,Hastings-Sunrise,498293.0,5457418.0,49.26952,-123.02346,20,32,2009,12,11,12/11/2009,Evening,December,"49.26951992, -123.0234649"
Break and Enter Commercial,57XX CAMBIE ST,Oakridge,491556.5,5453373.2,49.23308,-123.11598,17,0,2007,10,15,10/15/2007,Night,October,"49.23308021, -123.1159813"
Break and Enter Commercial,11XX ROBSON ST,West End,490871.0,5459157.5,49.28510,-123.12553,1,0,2000,5,27,05/27/2000,Night,May,"49.28510079, -123.1255294"
Break and Enter Residential/Other,10XX HAMILTON ST,Central Business District,491229.8,5458167.0,49.27620,-123.12057,8,20,2000,6,10,06/10/2000,Evening,June,"49.27619715, -123.120574"
Theft from Vehicle,76XX THORNHILL DR,Victoria-Fraserview,495004.7,5451326.0,49.21470,-123.06859,3,0,2011,10,25,10/25/2011,Night,October,"49.21470269, -123.0685911"
Break and Enter Residential/Other,7XX BROUGHTON ST,West End,490622.2,5459545.8,49.28859,-123.12896,0,1,1999,7,29,07/29/1999,Night,July,"49.28859038, -123.1289593"
Theft from Vehicle,2XX DRAKE ST,Central Business District,490968.9,5457901.3,49.27380,-123.12415,21,30,2000,7,3,07/03/2000,Evening,July,"49.27380262, -123.1241541"
Break and Enter Residential/Other,69XX KNIGHT ST,Sunset,494352.0,5452032.3,49.22105,-123.07756,22,0,1999,12,1,12/01/1999,Night,December,"49.22105019, -123.0775627"
Theft from Vehicle,46XX W 14TH AVE,West Point Grey,484544.6,5456404.5,49.26021,-123.21241,23,0,2001,5,11,05/11/2001,Night,May,"49.26021059, -123.2124142"
Break and Enter Commercial,21XX W 40TH AVE,Arbutus Ridge,488660.4,5453659.8,49.23561,-123.15577,17,0,2000,4,3,04/03/2000,Night,April,"49.235611, -123.1557708"
Theft from Vehicle,34XX MONS DR,Renfrew-Collingwood,497744.6,5455513.0,49.25238,-123.03099,0,51,2009,3,11,03/11/2009,Evening,March,"49.25238228, -123.0309926"
Vehicle Collision or Pedestrian Struck (with Injury),23XX BLOCK WALL ST,Grandview-Woodland,495716.0,5459653.0,49.28961,-123.05891,8,24,2010,9,2,09/02/2010,Evening,September,"49.28961151, -123.0589129"
Vehicle Collision or Pedestrian Struck (with Injury),20XX GRANVILLE STREET BRDG,Fairview,489955.0,5457151.0,49.26704,-123.13807,10,50,2000,2,14,02/14/2000,Evening,February,"49.26703809, -123.1380743"
Other Theft,3XX ABBOTT ST,Central Business District,492213.9,5458862.7,49.28247,-123.10706,15,51,2007,12,10,12/10/2007,Evening,December,"49.2824676, -123.1070582"
Theft from Vehicle,7XX BEATTY ST,Central Business District,491832.3,5458436.0,49.27863,-123.11230,2,44,2002,6,8,06/08/2002,Evening,June,"49.27862502, -123.1122955"
Break and Enter Residential/Other,13XX W 70TH AVE,Marpole,490142.3,5450653.0,49.20859,-123.13534,19,35,2003,1,9,01/09/2003,Evening,January,"49.20859056, -123.1353395"
Break and Enter Residential/Other,19XX VENABLES ST,Grandview-Woodland,495288.9,5458215.3,49.27668,-123.06477,16,52,2007,6,19,06/19/2007,Evening,June,"49.27667611, -123.0647701"
Theft of Bicycle,12XX HOMER ST,Central Business District,490935.6,5457957.1,49.27430,-123.12461,9,0,2006,3,29,03/29/2006,Night,March,"49.27430469, -123.1246141"
Break and Enter Residential/Other,10XX HARWOOD ST,West End,490370.0,5458403.2,49.27831,-123.13240,15,45,1999,6,11,06/11/1999,Evening,June,"49.2783086, -123.1323995"
Theft from Vehicle,BURRARD ST / NELSON ST,West End,490833.3,5458723.3,49.28119,-123.12604,16,0,2011,12,5,12/05/2011,Night,December,"49.28119471, -123.1260379"
Theft of Vehicle,29XX E HASTINGS ST,Hastings-Sunrise,496816.3,5458716.8,49.28120,-123.04377,17,30,2003,5,18,05/18/2003,Evening,May,"49.28119696, -123.0437749"
Theft from Vehicle,22XX W BROADWAY AVE,Kitsilano,488648.7,5456797.1,49.26383,-123.15602,23,30,2008,9,24,09/24/2008,Evening,September,"49.26383194, -123.1560199"
Other Theft,17XX E BROADWAY AVE,Kensington-Cedar Cottage,495037.2,5456614.0,49.26227,-123.06821,16,20,1999,12,22,12/22/1999,Evening,December,"49.26226976, -123.0682098"
Break and Enter Commercial,21XX YORK AVE,Kitsilano,488748.3,5457665.2,49.27164,-123.15468,18,0,2002,7,14,07/14/2002,Night,July,"49.27164203, -123.1546759"
Theft of Vehicle,22XX W 12TH AVE,Kitsilano,488578.1,5456487.8,49.26105,-123.15698,18,0,2003,12,24,12/24/2003,Night,December,"49.26104806, -123.156981"
Theft of Vehicle,29XX SOPHIA ST,Mount Pleasant,492849.0,5456278.5,49.25923,-123.09828,23,45,1999,12,16,12/16/1999,Evening,December,"49.25923038, -123.0982789"
Theft of Vehicle,9XX CAMBIE ST,Central Business District,491520.3,5458264.9,49.27708,-123.11658,3,0,1999,10,9,10/09/1999,Night,October,"49.27708116, -123.1165817"
Mischief,W 5TH AVE / WATERLOO ST,Kitsilano,486923.2,5457227.0,49.26766,-123.17975,21,15,2007,6,21,06/21/2007,Afternoon,June,"49.26766422, -123.1797511"
Mischief,2XX ABBOTT ST,Central Business District,492262.0,5459006.8,49.28376,-123.10640,22,28,2007,2,22,02/22/2007,Evening,February,"49.28376487, -123.1063992"
Other Theft,16XX DAVIE ST,West End,489856.5,5459237.9,49.28581,-123.13948,14,23,2007,1,27,01/27/2007,Evening,January,"49.28580837, -123.139481"
Break and Enter Residential/Other,13XX W 32ND AVE,Shaughnessy,490011.5,5454603.4,49.24412,-123.13723,2,55,2002,10,30,10/30/2002,Evening,October,"49.24412251, -123.1372338"
Other Theft,7XX GRANVILLE ST,Central Business District,491398.9,5458862.0,49.28245,-123.11826,10,16,2008,9,3,09/03/2008,Afternoon,September,"49.28245092, -123.1182643"
Break and Enter Residential/Other,27XX HEATHER ST,Fairview,491269.2,5456487.0,49.26109,-123.12000,9,0,2000,5,9,05/09/2000,Night,May,"49.26108564, -123.1199953"
Other Theft,29XX MAIN ST,Mount Pleasant,492637.7,5456237.8,49.25886,-123.10118,18,37,1999,11,27,11/27/1999,Evening,November,"49.25886204, -123.1011827"
Vehicle Collision or Pedestrian Struck (with Injury),SMITHE ST / HOMER ST,Central Business District,491385.0,5458416.0,49.27844,-123.11845,4,17,2007,1,28,01/28/2007,Afternoon,January,"49.2784388, -123.1184454"
Theft from Vehicle,34XX FRASER ST,Kensington-Cedar Cottage,493458.4,5455709.7,49.25412,-123.08989,20,0,2002,12,18,12/18/2002,Night,December,"49.25412037, -123.0898947"
Theft from Vehicle,29XX FRASER ST,Mount Pleasant,493513.6,5456157.1,49.25815,-123.08914,0,0,2002,10,24,10/24/2002,Night,October,"49.25814577, -123.0891434"
Break and Enter Residential/Other,18XX FRANCES ST,Grandview-Woodland,495156.8,5458505.6,49.27929,-123.06659,12,0,1999,2,20,02/20/1999,Night,February,"49.27928637, -123.0665895"
Theft of Vehicle,13XX HOWE ST,Central Business District,490579.3,5458170.2,49.27622,-123.12952,16,0,2004,6,13,06/13/2004,Night,June,"49.27621545, -123.1295176"
Theft from Vehicle,30XX W 2ND AVE,Kitsilano,487422.7,5457507.0,49.27019,-123.17289,16,0,2003,4,5,04/05/2003,Night,April,"49.27019379, -123.1728937"
Theft from Vehicle,39XX POINT GREY RD,West Point Grey,486117.4,5457634.1,49.27131,-123.19084,18,30,2000,6,26,06/26/2000,Evening,June,"49.27130865, -123.1908409"
Break and Enter Residential/Other,21XX KITCHENER ST,Grandview-Woodland,495536.5,5457696.9,49.27201,-123.06136,21,0,1999,8,4,08/04/1999,Night,August,"49.27201441, -123.0613598"
Break and Enter Residential/Other,78XX SHAUGHNESSY ST,Marpole,490621.8,5451238.3,49.21386,-123.12877,11,0,2007,9,25,09/25/2007,Night,September,"49.21386239, -123.12877"
Break and Enter Commercial,24XX BAYSWATER ST,Kitsilano,487546.3,5456848.2,49.26427,-123.17117,4,24,2006,8,15,08/15/2006,Evening,August,"49.26427005, -123.1711731"
Theft from Vehicle,27XX W 12TH AVE,Kitsilano,487828.8,5456521.2,49.26133,-123.16728,21,30,2011,8,2,08/02/2011,Evening,August,"49.26133395, -123.1672807"
Theft from Vehicle,6XX CARRALL ST,Central Business District,492404.7,5458492.1,49.27914,-123.10443,16,30,2000,5,16,05/16/2000,Evening,May,"49.27913676, -123.1044271"
Mischief,5XX BEATTY ST,Central Business District,492051.9,5458657.0,49.28062,-123.10928,0,0,2011,2,10,02/10/2011,Night,February,"49.28061539, -123.1092819"
Theft of Bicycle,85XX STANLEY PARK DR,Stanley Park,489094.2,5460345.6,49.29576,-123.14999,18,0,2011,7,14,07/14/2011,Night,July,"49.29575887, -123.149993"
Theft from Vehicle,10XX NELSON ST,West End,490793.3,5458756.4,49.28149,-123.12659,7,40,2006,4,25,04/25/2006,Evening,April,"49.28149194, -123.1265886"
Theft from Vehicle,1XX ABBOTT ST,Central Business District,492274.1,5459061.3,49.28426,-123.10623,9,58,2004,1,14,01/14/2004,Evening,January,"49.28425553, -123.1062335"
Break and Enter Residential/Other,5XX E GEORGIA ST,Strathcona,493223.8,5458420.1,49.27850,-123.09316,16,0,2003,3,16,03/16/2003,Night,March,"49.27849865, -123.0931638"
Break and Enter Residential/Other,21XX E 53RD AVE,Victoria-Fraserview,495352.6,5452058.2,49.22129,-123.06382,6,30,1999,4,8,04/08/1999,Evening,April,"49.22129185, -123.0638218"
Break and Enter Residential/Other,13XX E 47TH AVE,Sunset,494211.1,5452776.7,49.22775,-123.07951,10,30,2003,10,24,10/24/2003,Evening,October,"49.22774558, -123.0795085"
Theft of Vehicle,45XX BEATRICE ST,Kensington-Cedar Cottage,495160.0,5454667.2,49.24476,-123.06650,19,30,2001,1,7,01/07/2001,Evening,January,"49.2447594, -123.0664988"
Other Theft,3XX SE MARINE DR,Sunset,492774.3,5450882.6,49.21069,-123.09921,15,52,2011,1,16,01/16/2011,Evening,January,"49.21069203, -123.0992089"
Mischief,3XX CAMBIE ST,Central Business District,492064.4,5458975.1,49.28348,-123.10912,2,9,2006,5,11,05/11/2006,Day,May,"49.28347674, -123.1091156"
Break and Enter Commercial,19XX W 6TH AVE,Kitsilano,489076.7,5457074.0,49.26633,-123.15014,23,40,2001,7,16,07/16/2001,Evening,July,"49.26633004, -123.1501449"
Theft from Vehicle,5XX W CORDOVA ST,Central Business District,491926.8,5459112.4,49.28471,-123.11101,18,20,2000,9,4,09/04/2000,Evening,September,"49.28471033, -123.1110101"
Mischief,8X W PENDER ST,Central Business District,492214.0,5458691.5,49.28093,-123.10705,19,10,2010,12,12,12/12/2010,Day,December,"49.28092817, -123.1070534"
Theft from Vehicle,FIR ST / W 7TH AVE,Fairview,489741.3,5456967.3,49.26538,-123.14101,0,0,1999,7,19,07/19/1999,Night,July,"49.26538204, -123.1410071"
Mischief,14XX E GEORGIA ST,Grandview-Woodland,494573.0,5458427.5,49.27858,-123.07461,14,30,2000,4,16,04/16/2000,Evening,April,"49.27857895, -123.0746142"
Theft from Vehicle,PRIOR ST / QUEBEC ST,Central Business District,492570.8,5458232.6,49.27680,-123.10214,20,30,2007,12,10,12/10/2007,Evening,December,"49.27680419, -123.1021384"
Theft from Vehicle,35XX KINGSWAY AVE,Killarney,497982.3,5453255.2,49.23207,-123.02771,8,30,2009,7,17,07/17/2009,Evening,July,"49.23207357, -123.0277147"
Break and Enter Commercial,1XX E BROADWAY AVE,Mount Pleasant,492610.8,5456694.6,49.26297,-123.10156,13,43,2007,4,10,04/10/2007,Evening,April,"49.2629709, -123.1015611"
Other Theft,6XX GRANVILLE ST,Central Business District,491445.9,5458896.4,49.28276,-123.11762,13,45,2006,3,3,03/03/2006,Evening,March,"49.28276102, -123.1176182"
Break and Enter Residential/Other,14XX W 13TH AVE,Fairview,490004.7,5456350.7,49.25984,-123.13737,20,30,1999,12,24,12/24/1999,Evening,December,"49.25983979, -123.1373718"
Theft from Vehicle,5XX JERVIS ST,Central Business District,490888.0,5459618.4,49.28925,-123.12531,17,0,2010,2,16,02/16/2010,Night,February,"49.289247, -123.1253062"
Break and Enter Residential/Other,26XX ADANAC ST,Hastings-Sunrise,496287.1,5458297.9,49.27743,-123.05105,17,0,2003,1,4,01/04/2003,Night,January,"49.27742581, -123.0510471"
Mischief,37XX W 28TH AVE,Dunbar-Southlands,486362.9,5454950.4,49.24717,-123.18738,17,0,2000,5,14,05/14/2000,Night,May,"49.24717368, -123.1873753"
Theft of Vehicle,19XX W 41ST AVE,Kerrisdale,488990.7,5453533.0,49.23448,-123.15123,0,0,2002,8,23,08/23/2002,Night,August,"49.23447688, -123.1512291"
Mischief,7XX W GEORGIA ST,Central Business District,491407.7,5458871.8,49.28254,-123.11814,18,30,2007,7,3,07/03/2007,Evening,July,"49.28253947, -123.1181426"
Mischief,29XX MCGILL ST,Hastings-Sunrise,496809.2,5459542.0,49.28862,-123.04388,18,16,2000,11,20,11/20/2000,Afternoon,November,"49.28861965, -123.0438785"
Theft from Vehicle,2XX E GEORGIA ST,Strathcona,492753.0,5458423.7,49.27853,-123.09964,12,0,1999,4,26,04/26/1999,Night,April,"49.27852608, -123.0996376"
Break and Enter Residential/Other,57XX LARCH ST,Kerrisdale,488156.5,5453547.6,49.23459,-123.16269,20,0,1999,3,28,03/28/1999,Night,March,"49.23459291, -123.1626896"
Other Theft,7XX GRANVILLE ST,Central Business District,491398.9,5458862.0,49.28245,-123.11826,11,23,2000,6,11,06/11/2000,Evening,June,"49.28245092, -123.1182643"
Mischief,8XX E 11TH AVE,Mount Pleasant,493703.7,5456434.0,49.26064,-123.08654,3,0,2002,2,12,02/12/2002,Night,February,"49.26063835, -123.0865356"
Mischief,6XX W 8TH AVE,Fairview,491395.0,5456836.5,49.26423,-123.11827,19,30,1999,2,9,02/09/1999,Evening,February,"49.26423124, -123.1182744"
Break and Enter Residential/Other,14XX W 11TH AVE,Fairview,490048.3,5456558.5,49.26171,-123.13678,6,45,2001,8,19,08/19/2001,Evening,August,"49.26171033, -123.136777"
Break and Enter Residential/Other,13XX W 11TH AVE,Fairview,490234.5,5456553.8,49.26167,-123.13422,9,0,2002,9,13,09/13/2002,Night,September,"49.26167052, -123.1342173"
Break and Enter Residential/Other,6XX W 16TH AVE,Fairview,491354.4,5456032.6,49.25700,-123.11881,8,30,2000,11,18,11/18/2000,Evening,November,"49.25699962, -123.1188143"
Theft of Vehicle,52XX PRINCE ALBERT ST,Kensington-Cedar Cottage,493596.9,5453868.6,49.23756,-123.08796,21,0,2001,1,31,01/31/2001,Night,January,"49.2375611, -123.0879615"
Theft of Bicycle,9XX DAVIE ST,Central Business District,490654.5,5458445.2,49.27869,-123.12849,15,33,2005,6,17,06/17/2005,Evening,June,"49.27869108, -123.1284895"
Theft from Vehicle,MAIN ST / NATIONAL AVE,Central Business District,492726.5,5458024.7,49.27494,-123.09999,8,0,2000,5,3,05/03/2000,Night,May,"49.27493624, -123.0999947"
Other Theft,17XX E BROADWAY AVE,Kensington-Cedar Cottage,495037.2,5456614.0,49.26227,-123.06821,15,23,2003,9,11,09/11/2003,Evening,September,"49.26226976, -123.0682098"
Break and Enter Residential/Other,1XX W HASTINGS ST,Central Business District,492146.6,5458832.9,49.28220,-123.10798,6,30,2010,6,13,06/13/2010,Evening,June,"49.28219905, -123.1079823"
Break and Enter Residential/Other,22XX SCARBORO AVE,Victoria-Fraserview,495569.6,5451173.1,49.21333,-123.06083,19,0,1999,3,24,03/24/1999,Night,March,"49.21333192, -123.0608325"
Other Theft,3XX SE MARINE DR,Sunset,492774.3,5450882.6,49.21069,-123.09921,21,58,2011,2,26,02/26/2011,Evening,February,"49.21069203, -123.0992089"
Mischief,5XX POWELL ST,Strathcona,493306.4,5458930.4,49.28309,-123.09204,8,36,2003,6,18,06/18/2003,Evening,June,"49.28309006, -123.0920371"
Vehicle Collision or Pedestrian Struck (with Injury),43XX BLOCK FRASER ST,Riley Park,493435.0,5454856.0,49.24644,-123.09020,19,0,2003,12,15,12/15/2003,Night,December,"49.24644136, -123.0902021"
Mischief,5X W CORDOVA ST,Central Business District,492322.0,5458882.1,49.28264,-123.10557,23,0,2000,1,31,01/31/2000,Night,January,"49.28264393, -123.1055721"
Mischief,88XX LAUREL ST,Marpole,490858.9,5450351.4,49.20589,-123.12549,3,0,2002,9,4,09/04/2002,Night,September,"49.20588843, -123.1254942"
Mischief,E HASTINGS ST / MAIN ST,Strathcona,492749.8,5458737.4,49.28135,-123.09969,20,27,2003,12,31,12/31/2003,Evening,December,"49.28134737, -123.0996871"
Break and Enter Residential/Other,18XX CREELMAN AVE,Kitsilano,489338.1,5457969.6,49.27439,-123.14658,10,38,2000,4,6,04/06/2000,Evening,April,"49.27439064, -123.1465752"
Other Theft,31XX GRANDVIEW HWY,Renfrew-Collingwood,497308.8,5456155.9,49.25816,-123.03699,19,43,2010,5,27,05/27/2010,Evening,May,"49.25816372, -123.0369859"
Theft from Vehicle,7XX SEYMOUR ST,Central Business District,491387.0,5458704.0,49.28103,-123.11842,9,30,2006,9,2,09/02/2006,Evening,September,"49.28102934, -123.118424"
Theft from Vehicle,6XX E 52ND AVE,Sunset,493265.1,5452213.7,49.22267,-123.09249,21,0,2000,1,9,01/09/2000,Night,January,"49.2226714, -123.0924922"
Theft from Vehicle,34XX SE MARINE DR,Killarney,497814.3,5450574.9,49.20796,-123.03001,23,30,2005,7,19,07/19/2005,Evening,July,"49.20796324, -123.0300076"
Break and Enter Commercial,27XX RUPERT ST,Renfrew-Collingwood,497553.4,5456336.4,49.25979,-123.03363,5,13,2002,2,4,02/04/2002,Afternoon,February,"49.2597882, -123.0336257"
Theft of Vehicle,26XX ARBUTUS ST,Kitsilano,488872.9,5456608.6,49.26214,-123.15293,20,0,2002,10,19,10/19/2002,Night,October,"49.26214065, -123.1529327"
Theft from Vehicle,14XX E 7TH AVE,Grandview-Woodland,494535.7,5456824.9,49.26416,-123.07511,18,0,1999,12,20,12/20/1999,Night,December,"49.2641632, -123.0751063"
Break and Enter Residential/Other,4XX ALEXANDER ST,Strathcona,493191.2,5459035.5,49.28403,-123.09362,6,0,2010,7,12,07/12/2010,Night,July,"49.28403436, -123.0936226"
Theft from Vehicle,22XX OAK ST,Fairview,490789.8,5457029.5,49.26596,-123.12660,21,0,2011,6,1,06/01/2011,Night,June,"49.26595805, -123.1265971"
Theft from Vehicle,9XX W GEORGIA ST,Central Business District,491259.2,5459007.8,49.28376,-123.12019,9,30,2002,4,1,04/01/2002,Evening,April,"49.28375989, -123.1201875"
Break and Enter Commercial,15XX SE MARINE DR,Victoria-Fraserview,494592.8,5450912.5,49.21098,-123.07424,18,0,2011,3,19,03/19/2011,Night,March,"49.21097955, -123.074241"
Break and Enter Residential/Other,14XX W 58TH AVE,Marpole,489816.3,5451735.9,49.21833,-123.13984,20,30,2000,9,13,09/13/2000,Evening,September,"49.21832547, -123.1398439"
Break and Enter Commercial,31XX KINGSWAY AVE,Renfrew-Collingwood,497221.6,5453605.4,49.23522,-123.03817,0,30,2009,9,22,09/22/2009,Evening,September,"49.23522037, -123.0381664"
Theft from Vehicle,7XX W PENDER ST,Central Business District,491641.0,5459106.5,49.28465,-123.11494,14,0,1999,5,10,05/10/1999,Night,May,"49.28465369, -123.1149398"
Break and Enter Residential/Other,13XX E 26TH AVE,Kensington-Cedar Cottage,494432.4,5454968.6,49.24746,-123.07650,6,30,2000,8,19,08/19/2000,Evening,August,"49.24746402, -123.0765"
Other Theft,27XX E 12TH AVE,Renfrew-Collingwood,496447.8,5456225.1,49.25878,-123.04882,12,4,2008,12,10,12/10/2008,Night,December,"49.25878152, -123.0488189"
Mischief,6XX POWELL ST,Strathcona,493471.2,5458925.4,49.28305,-123.08977,14,51,2002,12,20,12/20/2002,Evening,December,"49.28304686, -123.0897714"
Mischief,18XX POWELL ST,Grandview-Woodland,495217.1,5459120.7,49.28482,-123.06577,21,0,2007,3,10,03/10/2007,Night,March,"49.28481996, -123.0657673"
Break and Enter Residential/Other,33XX E 3RD AVE,Hastings-Sunrise,497735.9,5457194.8,49.26751,-123.03112,18,15,2005,6,1,06/01/2005,Afternoon,June,"49.2675103, -123.0311223"
Mischief,10XX DAVIE ST,West End,490556.6,5458541.6,49.27956,-123.12984,5,30,1999,6,30,06/30/1999,Evening,June,"49.27955635, -123.1298372"
Theft from Vehicle,9XX W CORDOVA ST,Central Business District,491637.5,5459386.6,49.28717,-123.11499,8,20,1999,1,15,01/15/1999,Evening,January,"49.28717282, -123.1149943"
Theft from Vehicle,30XX E 27TH AVE,Renfrew-Collingwood,496979.6,5454825.0,49.24619,-123.04150,10,30,2006,5,13,05/13/2006,Evening,May,"49.24619063, -123.0414991"
Break and Enter Commercial,6XX GRANVILLE ST,Central Business District,491448.3,5458898.8,49.28278,-123.11759,22,15,2007,6,15,06/15/2007,Afternoon,June,"49.28278219, -123.1175861"
Mischief,38XX W 51ST AVE,Musqueam,486069.4,5452553.5,49.22561,-123.19132,12,0,2002,11,19,11/19/2002,Night,November,"49.22560676, -123.1913234"
Mischief,1XX W HASTINGS ST,Central Business District,492183.0,5458822.0,49.28210,-123.10748,18,55,2006,5,14,05/14/2006,Evening,May,"49.28210111, -123.1074819"
Theft of Bicycle,24XX W 1ST AVE,Kitsilano,488324.4,5457580.1,49.27087,-123.16050,21,30,1999,1,20,01/20/1999,Evening,January,"49.27086922, -123.1605008"
Theft of Bicycle,58XX SHERBROOKE ST,Sunset,494081.7,5453204.4,49.23159,-123.08129,8,35,2009,9,19,09/19/2009,Evening,September,"49.23159152, -123.0812926"
Theft from Vehicle,68XX KNIGHT ST,Sunset,494355.8,5452181.6,49.22239,-123.07751,21,30,2011,11,14,11/14/2011,Evening,November,"49.2223934, -123.0775131"
Other Theft,16XX DAVIE ST,West End,489856.5,5459237.9,49.28581,-123.13948,10,20,2010,10,27,10/27/2010,Evening,October,"49.28580837, -123.139481"
Vehicle Collision or Pedestrian Struck (with Injury),E 29TH AVE / EARLES ST,Renfrew-Collingwood,496931.0,5454642.0,49.24454,-123.04217,20,5,1999,12,24,12/24/1999,Night,December,"49.2445439, -123.042166"
Theft from Vehicle,2XX E GEORGIA ST,Strathcona,492771.3,5458432.5,49.27860,-123.09939,10,0,2011,12,4,12/04/2011,Night,December,"49.27860491, -123.0993865"
Vehicle Collision or Pedestrian Struck (with Injury),E 2ND AVE / KAMLOOPS ST,Hastings-Sunrise,496020.0,5457304.0,49.26848,-123.05471,19,50,2009,1,29,01/29/2009,Evening,January,"49.2684839, -123.054709"
